kappa,beta,wc,wm,J,Gamma,alpha,gamma,field,r_squared
4.669925485304107,37.03229866079913,25.40311722235364,122469.76424673635,11047.091490137846,-1152.9123387166023,-215119.31833144484,-187392.00742103803,2863.5,0.5202550169772175
4.669102348742077,37.27269954944685,39.018351888206375,30069.175761978506,-6836.451636542296,1020.6982431566322,47.78064721462006,-95690.83548710814,2864.0,0.521081702703909
4.66640528203946,23.753200343994415,-6.9924270351505715,32149.191289883907,-531.7466444274494,4165.852028330646,70520.8098813111,71902.49505193059,2864.5,0.5205573641804699
4.682064754031909,-55.130628163406364,35.25462009745547,17822.63195084721,-4840.068570844939,181.8426758576373,7646.238438736835,13769.014071036498,2865.0,0.520189411607521
4.661511829311212,24.76698438388694,24.038623191500488,51980.948211765455,-6744.489641106897,565.8526864169486,31392.19500008814,-157602.29377451615,2865.5,0.5221723642973684
4.665242865365704,39.369226258262316,31.665797742241487,51382.645645115736,8732.246582757001,-2499.250039540954,-174688.49622697392,-147889.67566264703,2866.0,0.5218453164026708
4.658828471093754,24.584181079116835,28.881169089244043,25693.958351458827,-6144.8569823914,2526.3309080884455,-109540.24346989852,-112643.34338703357,2866.5,0.522923252512906
1.8597409653290369,40.75362359814275,32.40306040675385,26332.60375152924,-5548.665853092267,-244.2431537478925,-23057.561359381725,2036.456429280577,2867.0,0.5219571441361921
1.8593377257616612,26.281087256614853,7.9066043605726675,48786.03959208734,-3232.8851156577184,-962.3348248271124,-223139.01442266552,170828.27387733455,2867.5,0.5219341024780674
4.660760034394688,39.44788330653724,29.938396951329764,102092.47798367539,-10630.189697983167,96.92046722741232,-145130.70608625363,-25889.004358716407,2868.0,0.5221628684162476
4.662235405094284,79.1973106958967,25.0048020710189,81614.18043916051,-8485.582623913493,-3020.875799415309,115289.27964485169,-41263.70978434237,2868.5,0.5224837018676058
4.660427221901312,-1.5636732275002057,25.438340360898046,134470.2687000887,-10794.447324991183,897.8216311377425,-117274.94354347899,-23217.387771639085,2869.0,0.5227928493837237
4.662974995315233,1.7985719958796735,37.36883965036207,17949.66339332695,-5114.5507083579005,1426.2940524183268,-54412.7744431032,-16127.382717637967,2869.5,0.5228274028570656
4.6618307214098405,41.42391493935506,26.301558804405328,122547.62715972087,11727.507371353033,-1987.3874177452183,-283587.20383772714,-275282.19900804106,2870.0,0.5222016686141991
4.65964077441242,20.804453705993563,23.716959547150807,183786.95304223534,12690.137051563233,-1744.067097768842,-278234.4703080439,-275825.8766405719,2870.5,0.5227393731310217
4.652872874991649,9.347155164678215,53.976555914320286,19119.653329923476,-6589.4847801406495,2108.0412065838796,-49522.82628046778,-42393.217533167975,2871.0,0.5240273815935685
4.655498180582991,21.845718439194748,-5.096959941215838,42864.481565630136,-780.3340683892092,4590.540096061855,145123.2865927789,99513.93178913185,2871.5,0.5227832766596695
4.655531761046676,66.85017953909677,31.000710814755607,42774.51395406842,8200.920190942881,-1680.9217391814434,-150771.7941181305,-116255.13745406635,2872.0,0.5230155061087137
4.650495710453431,13.99324115633842,37.590688614428394,15416.433527162635,-4990.578317387996,1705.8937160156372,-32733.409016999143,-54064.259218274085,2872.5,0.5236613493961728
4.655982717711026,37.11322300463227,13.43449788498023,-285094.3942189257,943.9851116377116,-11846.431818858338,41457.8620857251,715850.898416767,2873.0,0.5222519370378986
4.648658728105666,13.278716708054658,36.47883255814835,22942.188604496834,-7227.414128109984,4240.804943782721,20.516592976400407,-307331.98569759255,2873.5,0.5232408389452403
4.655793453595464,-2.47306891482892,14.802127050795779,59028.18157394082,-6543.6365876202235,-3999.1568638194617,282777.3275742186,468908.4828190123,2874.0,0.5219501622788068
1.8575282659607368,36.34820440643794,3.3077707992620815,16924.68493025448,-1209.7597354684592,-1520.5068883350505,68571.36754811095,-50581.11903663626,2874.5,0.5221446575253648
4.6459817522509885,32.54202766111024,41.78228788683456,17360.659729320785,-6203.33142013154,2669.930788806791,-42932.44119569638,-110717.02457596683,2875.0,0.5232439720125619
4.649992531851411,62.85711136463765,36.81813620690255,18673.359840402303,-5427.390382757205,667.2008555216308,-22280.481718990013,-48611.046903434275,2875.5,0.5231581719023155
4.654220276769677,14.3894908722671,23.938053110397057,22165.511321651116,-4570.997209350054,-2348.825065991117,30616.18270009707,120485.1262067483,2876.0,0.5221709573772921
4.648761350826832,17.96403055189138,26.383679433489483,56997.316618484794,-8025.740917373612,2583.4939592719134,-119068.55356880154,-219585.23289630696,2876.5,0.5227392973539224
4.65011273329148,18.55266227323309,34.53857756274871,21262.062851105817,-5513.9889433319395,1558.7658378619165,-89033.35557604078,-13225.856815115518,2877.0,0.5219974963508274
4.649413189180682,44.29550712655364,10.897463872959342,-1408687.0255091207,12097.850333561097,-21080.18793793391,-1136666.659498108,-1178557.189988178,2877.5,0.5215099912496769
4.6563941542217835,-69.12021159708611,24.194095222295935,23109.095155081035,-4876.823707778588,24.26230173257897,33459.92510244941,40821.30950685889,2878.0,0.521412949880046
4.650645493017326,42.46444128197108,27.12171299942798,192205.0733294991,-13623.458643729931,-1212.0734017356394,57248.319232167334,-192404.88239719076,2878.5,0.5208986282842616
4.651323797169022,6.554321362705786,33.874782562917865,50447.36408430214,-8208.423363730393,2334.777635095026,-48672.169981781,-166337.6692210039,2879.0,0.521265825644319
4.641675118298875,22.103989390702736,-8.041018254709053,38908.06450255493,-786.4770625849378,4774.833857563369,79983.21985243335,100659.1994567217,2879.5,0.5219984281190807
4.645435154949271,23.1445250742241,25.9370380429837,55160.30108348044,-7332.635442764064,1032.7465001530923,-119379.30627514694,-49407.33806590139,2880.0,0.5214088175564071
1.8548334789677337,23.03748543985681,5.836179266046673,83810.87032808065,-2985.547198907126,-2298.7967127228567,57950.96584676577,110632.07571117331,2880.5,0.5214081532594608
1.855197797932839,27.582894987877566,-1.1192458273421961e-05,40675.44434778584,-1640.2583150304854,-2562.291351822557,170252.9344516993,-245245.4348391743,2881.0,0.5211073593807971
4.6428771314878565,27.404685285387004,16.956907234851844,-215136.4243804601,-3647.6296075932123,10636.453431761685,-127391.70353046873,-334613.73381358804,2881.5,0.5208190825781555
1.8539814166516442,44.37739331456818,-10.121616763776926,14196.71101649319,-814.6697483029693,3636.6530027278036,-544.4058172972607,113432.33312548036,2882.0,0.5208621869213025
4.646028261098057,16.186603416997016,32.19996096038437,49324.491072683544,-7682.384142703627,1101.0416755252759,-63022.91378714464,-61600.2895844692,2882.5,0.5212316496151499
4.647734490455,45.61901836827272,17.86792723153753,-1313363.6444468931,-10196.25036393656,27419.758491577642,-74170.39023333721,-1840254.7873065274,2883.0,0.5202691820435512
4.638532082565163,61.4280019762886,38.57319545858603,16578.113767876508,-5609.0151782201,1445.3024847756417,-102604.4107303259,-1060.9884319875605,2883.5,0.5219293730011858
4.640515010061863,55.57633767337926,38.030616821787454,15546.867082479894,-5398.497481008502,1509.0399948665595,-76027.58056961141,-25113.944826718714,2884.0,0.5214224572272641
4.645585045457178,0.7798645178040499,17.573075052473403,73937.86514638437,-8082.189756448464,-5166.535807361097,364880.13407474564,577310.1583355308,2884.5,0.5207170154845095
1.8546893359056118,26.337115778199895,-0.26570760210558775,33566.10484007172,-1419.9821151317549,-2379.6548200212333,-1992.7938850557969,-59106.48537421,2885.0,0.5209857377744893
4.640708372590784,21.620497852000483,32.65918421575253,25047.60550030541,-5572.969858446043,846.3431644284013,-87575.41028178,15985.094792963164,2885.5,0.5215484838145419
4.640455315787424,6.139626396991689,35.27846252631517,37718.435926521204,-7140.882264320736,1700.727450048621,40.17071345646063,-131192.98947561896,2886.0,0.5215000181972225
4.6442376534392915,0.33890902435074755,33.355262160008884,42881.71361724661,-7126.680129456513,629.026665656336,19.41482359481313,-50535.80254273346,2886.5,0.5212524935345397
4.638374256651562,23.623167140161357,-7.507634325654954,33505.108481710384,-554.4589705708793,4317.231661930225,-31918.46000867092,175486.8713143014,2887.0,0.5211511492416394
4.638499812206717,48.75383855599905,37.67023997388003,18919.51270836114,-5735.637934350355,1464.6009963510908,-59205.70896180289,-47234.60296624858,2887.5,0.5219024957921609
1.8547587682388629,-2.9596690835724386,29.41143676781837,10346.847043033467,-6075.564397910662,5302.053873996064,-28582.032143962795,-367488.69347050844,2888.0,0.5213929381182327
4.642939422077277,2.3154118578142846,33.42462615538515,36387.30102601589,-6752.954956842602,-1812.1658611520859,-74481.29830895095,200718.80833491587,2888.5,0.5218498014802385
1.8544550246488023,15.48465598621769,24.370832201488632,30956.003630226845,-5033.60163058247,-580.9363028642955,-28364.615723721294,52218.415627308124,2889.0,0.5220524232400128
4.641679618592773,3.8505459790791927,-28.73896088496751,-67767.03436118385,-10116.228455977616,-3705.097811483764,-235641.68862783877,-143847.28832530841,2889.5,0.5217105136999403
4.633399205749467,74.250116435243,27.17503153647438,138553.0684781763,-12575.484947230492,-341.961327286998,-460156.74398911407,73079.73025929333,2890.0,0.5227352889382945
